date,holiday,risk
1 січня,День Святого Василія Великого,1
5 січня,Хрещенський святвечір,1
6 січня,Богоявлення,1
20 січня,День вшанування захисників Донецького аеропорту,3
22 січня,День Соборності України,3
24 січня,День зовнішньої розвідки України,3
26 січня,День працівників контрольно-ревізійної служби України,1
29 січня,День пам'яті Героїв Крут,3
2 лютого,Стрітення,1
5 лютого,День Державної спеціальної служби транспорту,1
15 лютого,День вшанування учасників бойових дій на території інших держав,3
16 лютого,День військового журналіста України,3
20 лютого,День Героїв Небесної Сотні,3
20 лютого,День соціальної справедливості,1
26 лютого,День кримського спротиву російській окупації,3
8 березня,Міжнародний жіночий день,2
Друга субота березня,День землевпорядника,1
14 березня,День українського добровольця,3
18 березня,День працівника податкової та митної справи України,1
Третя неділя березня,День працівників житлово-комунального господарства,1
24 березня,Всеукраїнський день боротьби із захворюванням на туберкульоз,1
25 березня,День Служби безпеки України,3
25 березня,Благовіщення,1
26 березня,День Національної гвардії України,3
1 квітня,День сміху,1
Перша неділя квітня,День геолога,1
12 квітня,День працівників ракетно-космічної галузі України,1
17 квітня,День пожежної охорони,1
18 квітня,День пам'яток історії та культури,1
Третя субота квітня,День довкілля,1
Неділя після першого повного місяця після весняного рівнодення,Великдень або Пасха,2
26 квітня,Міжнародний день пам'яті про чорнобильську катастрофу,3
30 квітня,День прикордонника,3
1 травня,День праці,2
5 травня,День фахівців цивільно-військового співробітництва,3
6 травня,День піхоти,3
8 травня,День пам'яті та перемоги над нацизмом у Другій світовій війні,3
9 травня,День Європи,2
Друга неділя травня,День матері,2
14 травня,День пам'яті українців які рятували євреїв під час Другої світової війни,3
15 травня,День сім'ї,1
18 травня,День резервіста України,3
третій четвер травня,День вишиванки,2
третя субота травня,День науки,1
третя неділя травня,День пам'яті жертв політичних репресій,3
20 травня,День банківських працівників,1
21 травня,День міжнаціональної злагоди і культурного розвитку,1
23 травня,День Героїв,3
23 травня,День морської піхоти,3
24 травня,День слов'янської писемності і культури,1
остання субота травня,День працівників видавництв поліграфії і книгорозповсюдження,1
остання неділя травня,День хіміка,1
28 травня,Всеукраїнський день краєзнавства,1
29 травня,Міжнародний день миротворців,3
1 червня,День захисту дітей,2
перша неділя червня,День працівників водного господарства,1
перша неділя червня,День працівників місцевої промисловості,1
4 червня,День вшанування пам'яті дітей які загинули внаслідок збройної агресії,3
6 червня,День журналіста,1
Дата змінна (неділя між 23 травня і 26 червня),Трійця (П'ятидесятниця),2
друга неділя червня,День працівників легкої промисловості,1
12 червня,День працівника фондового ринку,1
13 червня,День звільнення Маріуполя від проросійських терористів,3
третя неділя червня,День батька,2
19 червня,День фермера,1
22 червня,День скорботи і вшанування пам'яті жертв війни в Україні,3
23 червня,День державної служби,1
24 червня,Різдво Івана Предтечі,1
остання неділя червня,День молодіжних та дитячих громадських організацій,1
28 червня,День Конституції України,3
29 червня,День апостолів Петра і Павла,1
1 липня,День архітектури України,1
перша неділя липня,День Військово-Морських Сил Збройних Сил України,3
перша неділя липня,День працівників морського та річкового флоту,1
4 липня,День судового експерта,1
4 липня,День Національної поліції України,3
5 липня,День звільнення Слов'янська від проросійських терористів,3
5 липня,День звільнення Краматорська від проросійських терористів,3
7 липня,День працівника природно-заповідної справи,1
друга неділя липня,День рибалки,1
15 липня,День Української Державності,3
15 липня,День хрещення Київської Русі — України,3
15 липня,День українських миротворців,3
16 липня,День бухгалтера,1
19 липня,День тренера,1
20 липня,Міжнародний день шахів та День шахів в Україні,1
третя неділя липня,День працівників металургійної та гірничодобувної промисловості,1
Остання неділя липня,День працівників торгівлі,1
29 липня,День Сил спеціальних операцій Збройних сил України,3
перша неділя серпня,День Повітряних Сил Збройних Сил України,3
6 серпня,Преображення Господнє,1
8 серпня,День військ зв'язку,3
12 серпня,День молоді,2
друга неділя серпня,День будівельника,1
друга неділя серпня,День працівників ветеринарної медицини,1
15 серпня,День археолога,1
15 серпня,Успіння Пресвятої Богородиці Діви Марії,1
19 серпня,День пасічника,1
23 серпня,День Державного Прапора України,3
24 серпня,День Незалежності України,3
29 серпня,День пам'яті захисників України які загинули за незалежність,3
29 серпня,Усікновення голови Івана Хрестителя,1
остання субота серпня,День авіації,1
остання неділя серпня,День шахтаря,1
1 вересня,День знань,2
2 вересня,День нотаріату,1
перша неділя вересня,День підприємця,1
7 вересня,День воєнної розвідки України,3
8 вересня,Різдво Пресвятої Богородиці,1
друга субота вересня,День фізичної культури і спорту,2
друга субота вересня,День українського кіно,1
друга неділя вересня,День працівників нафтової газової та нафтопереробної промисловості,1
друга неділя вересня,День пам'яті українців — жертв примусового виселення,3
14 вересня,День танкових військ,3
14 вересня,Воздвиження Хреста Господнього,1
17 вересня,День рятівника,3
17 вересня,День усиновлення,1
третя субота вересня,День винахідника і раціоналізатора,1
третя субота вересня,День фармацевтичного працівника,1
третя субота вересня,День працівника лісу,1
21 вересня,День миру,2
22 вересня,День партизанської слави,3
27 вересня,День туризму,1
четверта неділя вересня,День машинобудівника,1
30 вересня,Всеукраїнський день бібліотек,1
1 жовтня,День захисників і захисниць України,3
1 жовтня,Покрова Пресвятої Богородиці,1
1 жовтня,День Українського козацтва,3
1 жовтня,День ветерана Міжнародний день осіб похилого віку,2
перша неділя жовтня,День територіальної оборони України,3
перша неділя жовтня,День працівників освіти,2
перша неділя жовтня,День кадрового працівника,1
10 жовтня,День працівників стандартизації та метрології,1
друга неділя жовтня,День художника,1
друга неділя жовтня,День працівників державної санітарно-епідеміологічної служби,1
14 жовтня,День заснування УПА,3
третя субота жовтня,День працівників целюлозно-паперової промисловості,1
третя неділя жовтня,День працівників харчової промисловості,1
27 жовтня,День української писемності та мови,2
28 жовтня,День визволення України від фашистських загарбників,3
остання неділя жовтня,День автомобіліста і дорожника,1
3 листопада,День інженерних військ,3
4 листопада,День залізничника,1
перша неділя листопада,День працівника соціальної сфери,1
9 листопада,Всеукраїнський день працівників культури та майстрів народного мистецтва,1
16 листопада,День працівників радіо телебачення та зв'язку,1
17 листопада,День студента,2
третя неділя листопада,День працівників сільського господарства,1
третя неділя листопада,День скловиробника,1
18 листопада,День сержанта Збройних Сил України,3
19 листопада,День працівників гідрометеорологічної служби,1
21 листопада,День Гідності та Свободи,3
21 листопада,День десантно-штурмових військ,3
21 листопада,Введення в Храм Пресвятої Діви Марії,1
четверта субота листопада,День пам'яті жертв голодоморів,3
1 грудня,День працівників прокуратури,1
4 грудня,День ракетних військ і артилерії ЗСУ,3
5 грудня,День працівників статистики,1
6 грудня,День Збройних сил України,3
6 грудня,День святого Миколая,2
7 грудня,День місцевого самоврядування,1
друга неділя грудня,День благодійництва,1
12 грудня,День Сухопутних військ України,3
14 грудня,День вшанування учасників ліквідації наслідків аварії на ЧАЕС,3
15 грудня,День працівників суду,1
17 грудня,День працівника державної виконавчої служби,1
18 грудня,День військової контррозвідки України,3
19 грудня,День адвокатури,1
22 грудня,День енергетика,1
22 грудня,День працівників дипломатичної служби,3
24 грудня,День працівників архівних установ,1
24 грудня,Святий Вечір,2
25 грудня,Різдво Христове,2
26 грудня,Собор Пресвятої Богородиці,1
27 грудня,День святого Стефана,1
31 грудня,Щедрий вечір,2
